t [ps];I [nA]
25.251310933333336;(-8.782536850349038e-08+1.7012502446220763e-08j)
25.280948622222226;(-8.730895089752912e-08+1.6937435953487493e-08j)
25.310586311111113;(-8.678692410910593e-08+1.6869659647484428e-08j)
25.340224000000003;(-8.623456375866078e-08+1.680818577160218e-08j)
25.369861688888893;(-8.566807035669194e-08+1.6744256569378856e-08j)
25.39949937777778;(-8.509766732537261e-08+1.6643986559583395e-08j)
25.42913706666667;(-8.450225455712436e-08+1.65388682998365e-08j)
25.45877475555556;(-8.387625130695006e-08+1.6443344214254924e-08j)
25.488412444444446;(-8.322252576650165e-08+1.6330001262317566e-08j)
25.518050133333336;(-8.253351504420211e-08+1.6208282463543815e-08j)
25.547687822222226;(-8.184033034082679e-08+1.608249723013271e-08j)
25.577325511111113;(-8.116264909225017e-08+1.5963246533062217e-08j)
25.606963200000003;(-8.045119949040255e-08+1.5845702513824413e-08j)
25.636600888888893;(-7.970981144146075e-08+1.570985477866767e-08j)
25.66623857777778;(-7.89538701667032e-08+1.555348360841133e-08j)
25.69587626666667;(-7.816668379554738e-08+1.5409301546345323e-08j)
25.72551395555556;(-7.738686278921464e-08+1.5278781198642183e-08j)
25.755151644444446;(-7.663147282047163e-08+1.5150679448113812e-08j)
25.784789333333336;(-7.588278445049789e-08+1.5015575202184575e-08j)
25.814427022222226;(-7.517095742268556e-08+1.4876092937904543e-08j)
25.844064711111113;(-7.447802478703344e-08+1.4752715491746349e-08j)
25.873702400000003;(-7.37575121712716e-08+1.4645729326639124e-08j)
25.903340088888893;(-7.303380202976142e-08+1.452863870991907e-08j)
25.93297777777778;(-7.231095023289843e-08+1.439355037177256e-08j)
25.96261546666667;(-7.152387804154218e-08+1.4223737616471104e-08j)
25.99225315555556;(-7.070406615925135e-08+1.402435671531896e-08j)
26.021890844444446;(-6.988384024466952e-08+1.3818097510027245e-08j)
26.051528533333336;(-6.90274482010255e-08+1.3615455759095893e-08j)
26.081166222222226;(-6.814555899124894e-08+1.3413360339158232e-08j)
26.110803911111113;(-6.72811710449537e-08+1.3226725994212014e-08j)
26.140441600000003;(-6.64415176125202e-08+1.306659978877172e-08j)
26.170079288888893;(-6.563990601485058e-08+1.2926256415944014e-08j)
26.19971697777778;(-6.48760505260558e-08+1.2771515824127308e-08j)
26.22935466666667;(-6.410484619442076e-08+1.2599205915457612e-08j)
26.25899235555556;(-6.333141962538462e-08+1.2425220530320583e-08j)
26.288630044444446;(-6.257916821917984e-08+1.2262639551319315e-08j)
26.318267733333336;(-6.181864808263705e-08+1.2128458448148388e-08j)
26.347905422222226;(-6.104138233300253e-08+1.2034933092549578e-08j)
26.377543111111112;(-6.024479986721535e-08+1.1952826392528971e-08j)
26.407180800000003;(-5.9450714493376405e-08+1.1842155640989871e-08j)
26.436818488888893;(-5.869714753196602e-08+1.1693635483579914e-08j)
26.46645617777778;(-5.795369835031075e-08+1.1514381551359377e-08j)
26.49609386666667;(-5.71981973341887e-08+1.1316620357304998e-08j)
26.52573155555556;(-5.643409401565142e-08+1.110875225483737e-08j)
26.555369244444446;(-5.565418781976408e-08+1.0897037294270039e-08j)
26.585006933333336;(-5.4851579068223443e-08+1.0694424779263701e-08j)
26.614644622222226;(-5.40431093735977e-08+1.0523883275537271e-08j)
26.644282311111112;(-5.325038899807284e-08+1.0396172524795954e-08j)
26.673920000000003;(-5.245629533253248e-08+1.0289121070217532e-08j)
26.703557688888893;(-5.1682652994999335e-08+1.0169136219761142e-08j)
26.73319537777778;(-5.092117740877269e-08+1.0033699507314888e-08j)
26.76283306666667;(-5.014365621331436e-08+9.863557479336963e-09j)
26.79247075555556;(-4.93429489024598e-08+9.678652721887356e-09j)
26.822108444444446;(-4.853178286937167e-08+9.500152351776047e-09j)
26.851746133333336;(-4.769250575734272e-08+9.33227985460733e-09j)
26.881383822222226;(-4.6840840290609266e-08+9.167194290416546e-09j)
26.911021511111112;(-4.6015112924263983e-08+9.024523713389745e-09j)
26.940659200000002;(-4.5205273010623267e-08+8.908381053112258e-09j)
26.970296888888893;(-4.439583269557108e-08+8.805393699210795e-09j)
26.99993457777778;(-4.3598830301171886e-08+8.711124915804493e-09j)
27.02957226666667;(-4.279692388745169e-08+8.614861824656185e-09j)
27.05920995555556;(-4.199900135987471e-08+8.523933061422668e-09j)
27.088847644444446;(-4.1217494189992815e-08+8.41862096012253e-09j)
27.118485333333336;(-4.043226969681343e-08+8.281559319877614e-09j)
27.148123022222226;(-3.964227944075676e-08+8.113067217642639e-09j)
27.177760711111112;(-3.8858581419099157e-08+7.920512229361082e-09j)
27.207398400000002;(-3.805233684861501e-08+7.726498761509408e-09j)
27.237036088888892;(-3.7251385086118535e-08+7.536080575394295e-09j)
27.26667377777778;(-3.6490775030680324e-08+7.3814122749299845e-09j)
27.296311466666666;(-3.572063799456831e-08+7.226762584728866e-09j)
27.32594915555556;(-3.4946138909308244e-08+7.077470132106468e-09j)
27.35558684444445;(-3.419131768986277e-08+6.941063290593846e-09j)
27.385224533333332;(-3.342878266987444e-08+6.788599047207513e-09j)
27.414862222222226;(-3.2669041154805174e-08+6.610560309895371e-09j)
27.444499911111116;(-3.1924475787298494e-08+6.402563716765708e-09j)
27.4741376;(-3.117155183197838e-08+6.176091984467714e-09j)
27.503775288888892;(-3.041794912412187e-08+5.9523082375106886e-09j)
27.533412977777783;(-2.9648588129842945e-08+5.736781121149605e-09j)
27.563050666666665;(-2.8850115033291535e-08+5.534750007962972e-09j)
27.59268835555556;(-2.8056179647118313e-08+5.349036471814666e-09j)
27.62232604444445;(-2.7269938222824532e-08+5.180680230642989e-09j)
27.651963733333332;(-2.6469264140195677e-08+5.015727702195021e-09j)
27.681601422222226;(-2.5666853713869055e-08+4.867420426541574e-09j)
27.711239111111116;(-2.487470804538275e-08+4.737283892484255e-09j)
27.7408768;(-2.4086583176465976e-08+4.618338637126146e-09j)
27.770514488888892;(-2.3297563909355826e-08+4.480644063672688e-09j)
27.800152177777782;(-2.2530529750755934e-08+4.3244422898054e-09j)
27.829789866666665;(-2.1761046100715973e-08+4.165327979038637e-09j)
27.85942755555556;(-2.098673852304875e-08+4.006526971745603e-09j)
27.88906524444445;(-2.0216374969937895e-08+3.862501837806506e-09j)
27.918702933333332;(-1.9466615619240487e-08+3.742977330329061e-09j)
27.948340622222226;(-1.8761366735976247e-08+3.6464614344173986e-09j)
27.977978311111116;(-1.8069093996917308e-08+3.5495527575383774e-09j)
28.007616;(-1.738695457687615e-08+3.4479064481468917e-09j)
28.037253688888892;(-1.673047275203505e-08+3.3192216374585317e-09j)
28.066891377777782;(-1.611724891777233e-08+3.1559669423617274e-09j)
28.096529066666665;(-1.551739327164214e-08+2.981369752499781e-09j)
28.12616675555556;(-1.4941380136560746e-08+2.8220608017196393e-09j)
28.15580444444445;(-1.4381399466828782e-08+2.7066879798541726e-09j)
28.185442133333332;(-1.3820276507740923e-08+2.6175854177938346e-09j)
28.215079822222226;(-1.326770769778003e-08+2.5497697415640174e-09j)
28.244717511111116;(-1.2746197144545367e-08+2.5130406366852857e-09j)
28.2743552;(-1.2219817028615614e-08+2.4746101975147893e-09j)
28.303992888888892;(-1.170905743402465e-08+2.4035067695411505e-09j)
28.333630577777782;(-1.1228389283774112e-08+2.30106697503359e-09j)
28.363268266666665;(-1.0745585375497313e-08+2.176366111908443e-09j)
28.39290595555556;(-1.0283128135529794e-08+2.034933332353913e-09j)
28.42254364444445;(-9.863232751741276e-09+1.9029433880587507e-09j)
28.452181333333332;(-9.471739700583516e-09+1.7864140888149577e-09j)
28.481819022222226;(-9.1087514920541e-09+1.7075004308819309e-09j)
28.511456711111116;(-8.774317630681512e-09+1.6463744993593486e-09j)
28.5410944;(-8.454647788600828e-09+1.5948737591074058e-09j)
28.570732088888892;(-8.148337167331138e-09+1.5589698934901953e-09j)
28.600369777777782;(-7.853051437952124e-09+1.5355003861653729e-09j)
28.630007466666665;(-7.58871445342056e-09+1.5320596371753135e-09j)
28.65964515555556;(-7.355381983106008e-09+1.5429830632085887e-09j)
28.689282844444453;(-7.1415260438115176e-09+1.5488744091989052e-09j)
28.718920533333332;(-6.968229115572556e-09+1.5417870313434794e-09j)
